Provincia,0
buenos aires,19.829299226799275
capital federal,28.452227334676593
catamarca,24.659841857765517
chaco,19.484485984327836
chubut,16.82096660175512
corrientes,21.538199883914725
córdoba,19.296451952349376
entre ríos,19.622686288083003
formosa,19.507074689302478
jujuy,20.271315104632297
la pampa,21.014789205218854
la rioja,22.126051786366002
mendoza,21.380840037595377
misiones,20.57508182623969
neuquén,16.728974487214032
río negro,16.796309170475983
salta,20.32082436896543
san juan,25.340225694617047
san luis,14.516252119527298
santa cruz,13.784757538395414
santa fe,19.9442078606258
santiago del estero,22.085221884753892
tierra del fuego,22.831999643206615
tucumán,28.302991572343092
